task_id,condition,repetition_id,run_id,eval_id,overall_score,runtime_seconds,relevance,structure,evidence_use,argument_clarity,academic_style,grammar_readability
T009,plan_execute,2,R3d2abd74,E6443d215,4.67,33.92988705635071,5,4,5,4,5,5
T009,plan_execute,3,R7e3b60ae,E4343c7ba,4.67,17.481108903884888,5,4,5,4,5,5
T009,plan_execute_critique,1,Rd00a4084,Eac3933c1,4.17,61.81132793426514,4,4,4,4,4,5
T009,plan_execute_critique,2,Rdfd7b4f4,Ed48ec1d9,4.83,89.25796604156494,5,5,5,5,4,5
T010,single_agent,1,R58c090b2,E6f87d708,4.67,6.30533504486084,5,4,5,4,5,5
T009,plan_execute_critique,3,R7d667b5b,E2b8bd790,4.33,71.12100195884705,5,4,4,4,4,5
T010,single_agent,2,Rd740e21a,E9697587e,5.0,8.757939100265503,5,5,5,5,5,5
T010,single_agent,3,R59b080bd,Eb57e58ce,4.83,55.34416103363037,5,4,5,5,5,5
T010,plan_execute,3,Rc06424a3,Ec13f773c,4.67,77.23923516273499,5,4,5,4,5,5
T010,plan_execute_critique,1,R2d48e86d,E74845d10,4.67,70.23092913627625,5,4,5,4,5,5
T010,plan_execute_critique,2,R9b478770,E7a2b389e,5.0,95.27521395683289,5,5,5,5,5,5
T010,plan_execute_critique,3,Ra0dc5b20,E46f35480,4.67,106.62877011299133,5,4,5,4,5,5
T011,single_agent,1,Rf144b0e4,Ef95faf04,4.67,15.571244955062866,5,4,5,4,5,5
T011,single_agent,2,R3be5dce6,E025c58f4,5.0,5.921245813369751,5,5,5,5,5,5
T011,single_agent,3,Rb0cf8fcf,E01ff9f85,4.83,16.079330921173096,5,4,5,5,5,5
T011,plan_execute,1,Rdd356726,E8a3e9b55,4.67,35.458741188049316,5,4,5,4,5,5
T011,plan_execute,3,R20275902,Ec57de3b1,5.0,46.89132595062256,5,5,5,5,5,5
T011,plan_execute_critique,1,Rd21939bb,E25533705,5.0,85.66209506988525,5,5,5,5,5,5
T011,plan_execute_critique,2,Rf5bfd481,E687a7e80,4.33,65.5654468536377,4,4,5,5,4,4
T011,plan_execute_critique,3,Rabcdf9ac,Ed10d6a2c,5.0,50.92181396484375,5,5,5,5,5,5
T012,single_agent,1,Rd8b67ecc,E0129e01e,4.83,12.699487924575806,5,5,5,4,5,5
T012,single_agent,2,R024b2bdc,Ea6893b4a,4.33,6.565819025039673,4,4,5,4,4,5
T012,single_agent,3,Rb8dda66a,E38411c48,4.5,9.5175142288208,5,4,5,4,4,5
T012,plan_execute,2,R410414cb,Eb646a54f,4.83,24.773561239242554,5,5,5,4,5,5
T012,plan_execute,1,R555edb0e,E234efbe5,4.67,49.91640305519104,5,4,5,4,5,5
T012,plan_execute,3,Red8194cb,E11b6bcae,5.0,19.547258853912354,5,5,5,5,5,5
T012,plan_execute_critique,1,R84c3dcdb,E283dcb74,4.83,34.75088691711426,5,5,5,4,5,5
T012,plan_execute_critique,2,R0c9b03c1,E319c4a4c,5.0,129.18563413619995,5,5,5,5,5,5
T013,single_agent,2,R8787556f,E80348010,4.83,10.419517993927002,5,5,5,4,5,5
T013,single_agent,3,R1c570c64,E4538bfa3,4.83,7.475103139877319,5,5,5,4,5,5
T013,plan_execute,1,R5ef6d4d9,E13dfe14b,4.67,24.6131112575531,5,4,5,4,5,5
T013,single_agent,1,Rfaa65b0f,E9c7b0c57,4.83,14.180093765258789,5,5,4,5,5,5
T013,plan_execute,2,Rb6b1fd0b,Ee91c46d7,4.33,30.231863021850586,4,4,4,4,5,5
T013,plan_execute,3,R09035d23,E35eb9a30,5.0,26.202243089675903,5,5,5,5,5,5
T013,plan_execute_critique,1,Ree38f6e7,E2b9aa964,4.83,93.66982507705688,5,5,4,5,5,5
T013,plan_execute_critique,2,R2b7b6fd9,E44499014,4.83,61.52587699890137,5,5,4,5,5,5
T013,plan_execute_critique,3,Rf68320ab,Ea8436613,4.83,46.759852170944214,5,5,4,5,5,5
T014,single_agent,1,R482bddad,Ebd82fb85,5.0,8.444721221923828,5,5,5,5,5,5
T014,single_agent,2,Ree96e275,Ed0f78754,4.83,5.029084920883179,5,4,5,5,5,5
T014,single_agent,3,Rcce950ba,Ecd031d8c,4.83,11.24770188331604,5,4,5,5,5,5
T014,plan_execute,1,Rab72dcc9,E976b5380,4.83,29.653817892074585,5,5,4,5,5,5
T014,plan_execute,2,Rc5010194,Ec9a7da04,4.83,31.826607942581177,5,5,4,5,5,5
T014,plan_execute,3,R00a574ac,E7b9a168c,4.83,24.288849115371704,5,5,4,5,5,5
T014,plan_execute_critique,2,R6caf8d8b,E8d945818,4.17,72.60672497749329,5,4,3,4,4,5
T014,plan_execute_critique,3,R5262fa2b,E1d0dd926,4.83,44.575082778930664,5,5,5,5,4,5
T015,single_agent,1,Rf594f0fa,E12ae942d,4.67,7.928124904632568,5,5,4,4,5,5
T015,single_agent,2,R7a76c04d,E65b834e9,4.83,21.670530080795288,5,5,4,5,5,5
T015,single_agent,3,R11fd67a5,E6e623e81,4.5,16.163079977035522,5,5,4,4,4,5
T015,plan_execute,3,R698648b6,Ece218864,5.0,18.13654899597168,5,5,5,5,5,5
T015,plan_execute_critique,1,R8991a28b,E1cc904c1,4.83,89.38576626777649,5,5,4,5,5,5
T015,plan_execute,2,Re4748620,E4a4b50b8,5.0,76.3123288154602,5,5,5,5,5,5
T015,plan_execute_critique,2,R03969353,Ef08345fe,4.67,56.69195580482483,5,4,4,5,5,5
T015,plan_execute_critique,3,Rbc7a3132,E6f5185bd,4.83,71.97661089897156,5,5,4,5,5,5
T016,single_agent,1,Rbc1cb569,E94551619,5.0,2.8580667972564697,5,5,5,5,5,5
T016,single_agent,3,Rb9249253,Ed8a4c3fe,5.0,18.769062995910645,5,5,5,5,5,5
T016,plan_execute,1,R5d0bc55e,Ea3bf093d,4.83,17.910728931427002,5,5,5,4,5,5
T016,single_agent,2,Rf2ccf285,E4e9eba36,5.0,8.264380931854248,5,5,5,5,5,5
T016,plan_execute,2,R1af53b34,Eae9cb903,5.0,30.91602110862732,5,5,5,5,5,5
T016,plan_execute_critique,1,Re0919860,E8dde164d,4.17,39.72649788856506,4,5,3,4,4,5
T016,plan_execute,3,Rffd5a548,E80e03bba,4.67,22.406157970428467,5,4,5,4,5,5
T016,plan_execute_critique,2,Rd00b23a4,E9838b77e,4.67,98.37427616119385,4,5,5,4,5,5
T016,plan_execute_critique,3,R4b65856e,E573ce3e3,4.33,60.993133783340454,5,5,3,4,4,5
T017,single_agent,1,R9b1affa6,E2f8f35f7,5.0,7.16287899017334,5,5,5,5,5,5
T017,single_agent,2,Rab25aad5,E2176bc64,5.0,8.42475700378418,5,5,5,5,5,5
T017,single_agent,3,Re057349d,E92f36c62,5.0,7.167346239089966,5,5,5,5,5,5
T017,plan_execute,1,Rfc6daf4b,Eacdc9745,4.83,17.30377984046936,5,4,5,5,5,5
T017,plan_execute,2,Rbde22c3a,E611dcd33,5.0,28.22493004798889,5,5,5,5,5,5
T017,plan_execute,3,R1d03b430,E23758ef1,4.83,24.015090942382812,5,5,5,4,5,5
T017,plan_execute_critique,1,R52779863,E86a4e1ea,4.33,51.008538246154785,5,4,4,4,4,5
T017,plan_execute_critique,2,R051ccb60,Ec8eea4e4,4.83,82.0735411643982,5,5,4,5,5,5
T017,plan_execute_critique,3,R79c28594,Eed029440,4.83,98.47143173217773,5,4,5,5,5,5
T018,single_agent,1,R9f838cbb,E573aa54d,4.83,25.49203109741211,5,4,5,5,5,5
T018,single_agent,2,Raf1f5fc3,Ec686f5b5,4.67,5.027018070220947,5,4,4,5,5,5
T018,single_agent,3,R13ba22b0,E29052c23,4.83,15.222925186157227,5,4,5,5,5,5
T018,plan_execute,1,R1e59a524,Ea4b477dd,4.83,26.970940113067627,5,5,5,4,5,5
T018,plan_execute,2,Rd9449884,Ee3abeb45,4.67,98.80290102958679,4,5,5,4,5,5
T018,plan_execute_critique,1,R7177059a,Ef72712a9,4.5,52.642221212387085,5,4,4,4,5,5
T018,plan_execute_critique,2,R41d30f04,E128ab358,4.33,881.2536702156067,5,4,4,4,4,5
T018,plan_execute_critique,3,Rb7d624d1,E2a017315,4.83,62.35378909111023,5,5,5,4,5,5
T019,single_agent,1,Rdde92692,E553080a2,4.83,7.736329078674316,5,4,5,5,5,5
T019,single_agent,2,Ra5f8fbfc,E7be37d44,5.0,9.020498991012573,5,5,5,5,5,5
T019,single_agent,3,Rcfe191dc,E978af51c,5.0,23.086772918701172,5,5,5,5,5,5
T019,plan_execute,1,R49f74969,E821ee14f,5.0,34.509037017822266,5,5,5,5,5,5
T019,plan_execute,2,R32f3d355,Ec9ba92dc,4.67,19.75193691253662,5,4,4,5,5,5
T019,plan_execute,3,Rcc51bd7b,E4ca024a5,5.0,20.233109951019287,5,5,5,5,5,5
T019,plan_execute_critique,2,Ra74dddc1,Effe17b4d,4.83,59.828200817108154,5,5,4,5,5,5
T019,plan_execute_critique,3,R78ed101d,Ec2a7252a,5.0,60.09932780265808,5,5,5,5,5,5
T020,single_agent,2,R330dbbee,E6d57488b,4.83,22.16265606880188,5,4,5,5,5,5
T020,single_agent,1,Rd3daad63,E0db150c6,4.67,14.219396114349365,5,4,5,4,5,5
T020,single_agent,3,R26f77f45,E1833bd47,4.67,20.691983222961426,5,4,5,4,5,5
T020,plan_execute,1,Ra6543c58,E89e54989,4.83,31.073402881622314,5,5,5,4,5,5
T020,plan_execute,2,R8f0a94a9,Ec0d77312,4.67,16.128205060958862,5,4,5,4,5,5
T020,plan_execute_critique,1,Rcb6d22bd,E03660881,4.67,45.56238126754761,5,4,5,4,5,5
T020,plan_execute,3,R2983e3e5,E0e7bb714,4.5,36.83294177055359,5,4,5,4,4,5
T020,plan_execute_critique,3,R8c34ffa8,Ed57d353f,4.33,57.832184076309204,5,4,4,4,4,5
T021,single_agent,1,Rba410d60,E109496e1,4.83,14.222235918045044,5,5,5,4,5,5
T021,single_agent,3,R39d4e30a,E1dbbe576,4.83,4.779417037963867,5,5,5,4,5,5
T021,plan_execute,1,Rff384b4a,E8536b362,4.83,29.352856636047363,5,5,5,4,5,5
T020,plan_execute_critique,2,R65011cb8,E14546044,4.83,80.98741602897644,5,5,5,5,4,5
T021,plan_execute,2,Rbddc6eba,Ec16b7074,4.5,22.33231520652771,5,4,4,4,5,5
T021,single_agent,2,R6387d9da,Eb5b65b65,4.67,23.281340837478638,5,4,5,4,5,5
T021,plan_execute,3,R6a58b99b,E4f4598c8,4.67,23.612337827682495,5,5,4,4,5,5
T021,plan_execute_critique,1,R7873d488,E8694eabc,4.83,46.545989990234375,5,5,4,5,5,5
T021,plan_execute_critique,2,R56c3f463,Efac5ff12,4.33,67.53836727142334,5,4,4,4,4,5
T022,single_agent,1,R92d81fa0,Ea830bceb,4.83,8.319549083709717,5,5,4,5,5,5
T021,plan_execute_critique,3,R98587c48,E927329f7,4.67,54.9921019077301,5,4,5,4,5,5
T022,single_agent,3,Rc5d6d29f,E459353c3,4.67,8.688260078430176,5,4,4,5,5,5
T022,single_agent,2,Rb6376e77,E3eee3958,4.5,24.55578637123108,5,4,4,4,5,5
T022,plan_execute,1,R5f2fa2ec,E7693b902,5.0,26.17646098136902,5,5,5,5,5,5
T022,plan_execute,2,R0f57514c,E7d62343e,4.67,21.39810299873352,5,5,4,4,5,5
T022,plan_execute,3,R8856bd9a,Ec88780f1,4.83,34.904577016830444,5,5,5,4,5,5
T022,plan_execute_critique,1,R772b3eac,Eb96fb76a,5.0,59.04068398475647,5,5,5,5,5,5
T022,plan_execute_critique,2,Re0e621f1,E1af52c0b,4.83,59.94368100166321,5,5,4,5,5,5
T023,single_agent,1,R619f4b45,Eecc21384,4.67,7.111762046813965,4,5,5,4,5,5
T023,single_agent,2,R060ebee0,E9667908a,4.83,21.13625693321228,5,5,5,4,5,5
T023,single_agent,3,Rb472f6cc,Eb5a3e799,4.33,11.670015811920166,4,4,4,4,5,5
T022,plan_execute_critique,3,R3eabeff2,E3e0bbabd,5.0,59.41888999938965,5,5,5,5,5,5
T023,plan_execute,1,R16032645,Ef3843614,4.83,14.783269882202148,5,5,5,4,5,5
T023,plan_execute,3,Rfb3023e3,Ef6ea8b11,4.67,38.751028060913086,5,4,5,4,5,5
T023,plan_execute_critique,1,Rf435776f,Ea9d8fcc3,4.33,58.61447715759277,5,4,4,4,4,5
T023,plan_execute_critique,2,Rfee02e63,Ee64941b8,4.17,61.692744970321655,4,4,4,4,4,5
T023,plan_execute_critique,3,Ra4f1b53b,E1f81dacf,4.33,56.50418186187744,4,4,5,4,4,5
T024,single_agent,1,R28299d5f,E1de95897,4.33,18.97095513343811,4,4,4,4,5,5
T024,single_agent,2,R2a713483,E0c6a7f0b,4.67,7.681395053863525,5,4,5,4,5,5
T024,plan_execute,1,Ra82498bd,E15d8d1fa,4.33,25.277791023254395,4,4,4,4,5,5
T024,plan_execute,2,R6f90547d,E442e153d,4.5,21.634448289871216,5,4,4,4,5,5
T024,single_agent,3,R903b40e9,E67abad9c,4.17,4.086223125457764,4,4,4,4,4,5
T024,plan_execute,3,R5d504387,Eae749038,4.33,27.02603793144226,4,4,4,4,5,5
T024,plan_execute_critique,1,R9d5bd791,Ee259edb0,4.33,49.8133430480957,5,4,4,4,4,5
T024,plan_execute_critique,2,Rdce290f9,Eae4c37df,4.83,42.75460720062256,5,5,4,5,5,5
T024,plan_execute_critique,3,R24906c33,Eef02de08,4.83,68.52384996414185,5,5,5,4,5,5
T025,single_agent,1,R2ceec420,E0c25a9e2,5.0,8.463935136795044,5,5,5,5,5,5
T025,single_agent,2,R84188191,E1628abdd,5.0,8.335104703903198,5,5,5,5,5,5
T025,single_agent,3,Rf5dc5cef,E2719f687,5.0,7.912207126617432,5,5,5,5,5,5
T025,plan_execute,1,Rb0a7520d,E22a78ab7,5.0,31.638517141342163,5,5,5,5,5,5
T025,plan_execute,2,R5f5e5b9f,E3b02c99c,4.83,26.684569835662842,5,4,5,5,5,5
T025,plan_execute,3,Re3924af9,E8770d4d4,5.0,32.65736985206604,5,5,5,5,5,5
T025,plan_execute_critique,1,R5b32d5bc,Ef2c457ca,5.0,48.93725109100342,5,5,5,5,5,5
T025,plan_execute_critique,2,R9c85b26a,E39fd65f5,4.83,70.42085599899292,5,5,4,5,5,5
T003,plan_execute,1,R49ab51f4,E90781810,4.5,8.063666820526123,5,4,4,4,5,5
T004,plan_execute_critique,2,R90796e04,E73b2930c,4.67,148.1785089969635,5,4,4,5,5,5
T006,plan_execute_critique,1,Rc575082f,E344ae055,4.67,39.32771706581116,5,5,4,5,4,5
T008,plan_execute,1,R53f7968c,Ec24010f5,4.83,15.874659061431885,5,5,5,4,5,5
T008,plan_execute_critique,1,Rdd72c7ff,E59dabba3,5.0,52.99700975418091,5,5,5,5,5,5
T010,plan_execute,1,Ra6a68896,E121a72f7,4.5,31.49480700492859,4,4,5,4,5,5
T010,plan_execute,2,Rf12aaab9,E2c088342,5.0,14.108711957931519,5,5,5,5,5,5
T011,plan_execute,2,R9918faa2,Ec1bfbb40,5.0,13.364067077636719,5,5,5,5,5,5
T012,plan_execute_critique,3,R50eaba18,E06a0e077,4.83,23.03735113143921,5,5,5,5,4,5
T014,plan_execute_critique,1,Rde8d80d4,Ebfe39d06,4.83,73.15690112113953,5,4,5,5,5,5
T015,plan_execute,1,Rdaaed15b,E0911d5ee,4.83,36.92257905006409,5,5,5,4,5,5
T018,plan_execute,3,Rab097d7a,Ef566f2c4,4.83,11.188941955566406,5,5,5,4,5,5
T019,plan_execute_critique,1,R3a01ae5d,E7da3e226,4.83,115.67979788780212,5,5,4,5,5,5
T023,plan_execute,2,Ra8aa141d,E8485c20e,4.83,99.96911692619324,5,5,5,4,5,5
T025,plan_execute_critique,3,R0bcdc979,E9361358a,5.0,151.97647905349731,5,5,5,5,5,5
